start,end,value
00:01.600000,00:01.620000,1.3722882
00:01.610000,00:01.630000,1.2490193
00:01.620000,00:01.640000,1.1315937
00:01.630000,00:01.650000,1.0401186
00:01.640000,00:01.660000,1.0734032
00:01.650000,00:01.670000,1.131969
00:01.660000,00:01.680000,1.1265072
00:01.670000,00:01.690000,1.071465
00:01.680000,00:01.700000,0.9858453
00:01.690000,00:01.710000,0.9909646
00:01.700000,00:01.720000,0.9325702
00:01.710000,00:01.730000,0.88072854
00:01.720000,00:01.740000,0.7577675
00:01.730000,00:01.750000,0.6388421
00:01.740000,00:01.760000,0.59502226
00:01.750000,00:01.770000,0.59371066
00:01.760000,00:01.780000,0.6362074
00:01.770000,00:01.790000,0.6054912
00:01.780000,00:01.800000,0.49877682
00:01.790000,00:01.810000,0.3644037
00:01.800000,00:01.820000,0.2797358
00:01.810000,00:01.830000,0.24886435
00:01.820000,00:01.840000,0.23632054
00:01.830000,00:01.850000,0.22601552
00:01.840000,00:01.860000,0.21015127
00:01.850000,00:01.870000,0.69518113
00:01.860000,00:01.880000,1.3706322
00:01.870000,00:01.890000,1.7245477
00:01.880000,00:01.900000,1.4073626
00:01.890000,00:01.910000,0.9541462
00:01.900000,00:01.920000,0.8922539
00:01.910000,00:01.930000,0.9541529
00:01.920000,00:01.940000,0.9173358
00:01.930000,00:01.950000,0.7469688
00:01.940000,00:01.960000,0.513016
00:01.950000,00:01.970000,0.29649746
00:01.960000,00:01.980000,0.16431803
00:01.970000,00:01.990000,0.13853131
00:01.980000,00:02,0.14661168
00:01.990000,00:02.010000,0.2033649
00:02,00:02.020000,0.3243837
00:02.010000,00:02.030000,0.46653262
00:02.020000,00:02.040000,0.51139975
00:02.030000,00:02.050000,0.46411583
00:02.040000,00:02.060000,0.38814017
00:02.050000,00:02.070000,0.39322475
00:02.060000,00:02.080000,0.48558876
00:02.070000,00:02.090000,0.5736223
00:02.080000,00:02.100000,0.63725775
00:02.090000,00:02.110000,0.58132935
00:02.100000,00:02.120000,0.4378463
00:02.110000,00:02.130000,0.26906472
00:02.120000,00:02.140000,0.15972358
00:02.130000,00:02.150000,0.46685433
00:02.140000,00:02.160000,1.4388729
00:02.150000,00:02.170000,2.006724
00:02.160000,00:02.180000,1.9456683
00:02.170000,00:02.190000,1.2211453
00:02.180000,00:02.200000,0.8866575
00:02.190000,00:02.210000,0.83326465
00:02.200000,00:02.220000,0.817488
00:02.210000,00:02.230000,0.93340164
00:02.220000,00:02.240000,1.0354732
00:02.230000,00:02.250000,1.1454653
00:02.240000,00:02.260000,1.0961742
00:02.250000,00:02.270000,1.1810414
00:02.260000,00:02.280000,1.1203251
00:02.270000,00:02.290000,1.1027393
00:02.280000,00:02.300000,0.97368973
00:02.290000,00:02.310000,0.91687584
00:02.300000,00:02.320000,0.8679983
00:02.310000,00:02.330000,0.77606326
00:02.320000,00:02.340000,0.78089666
00:02.330000,00:02.350000,1.0124842
00:02.340000,00:02.360000,1.6099602
00:02.350000,00:02.370000,2.2623203
00:02.360000,00:02.380000,2.8337305
00:02.370000,00:02.390000,3.139827
00:02.380000,00:02.400000,3.2471886
00:02.390000,00:02.410000,3.2895927
00:02.400000,00:02.420000,3.410206
00:02.410000,00:02.430000,3.7909088
00:02.420000,00:02.440000,4.1510315
00:02.430000,00:02.450000,3.759484
00:02.440000,00:02.460000,2.7121308
00:02.450000,00:02.470000,1.4277357
00:02.460000,00:02.480000,0.767906
00:02.470000,00:02.490000,0.56110567
00:02.480000,00:02.500000,0.508067
00:02.490000,00:02.510000,0.46578538
00:02.500000,00:02.520000,0.4372914
00:02.510000,00:02.530000,0.42684853
00:02.520000,00:02.540000,0.4128034
00:02.530000,00:02.550000,0.39404583
00:02.540000,00:02.560000,0.36997628
00:02.550000,00:02.570000,0.3316066
00:02.560000,00:02.580000,0.31534126
00:02.570000,00:02.590000,0.329445
00:02.580000,00:02.600000,0.3086009
00:02.590000,00:02.610000,0.2809856
00:02.600000,00:02.620000,0.22392575
00:02.610000,00:02.630000,0.20843466
00:02.620000,00:02.640000,0.2290526
00:02.630000,00:02.650000,0.33329654
00:02.640000,00:02.660000,0.47143993
00:02.650000,00:02.670000,0.5867005
00:02.660000,00:02.680000,0.6386586
00:02.670000,00:02.690000,0.65933406
00:02.680000,00:02.700000,0.6805916
00:02.690000,00:02.710000,0.70266265
00:02.700000,00:02.720000,0.7304135
00:02.710000,00:02.730000,0.8305273
00:02.720000,00:02.740000,0.8481622
00:02.730000,00:02.750000,0.83530825
00:02.740000,00:02.760000,0.7675271
00:02.750000,00:02.770000,0.64462346
00:02.760000,00:02.780000,0.67719024
00:02.770000,00:02.790000,0.57726544
00:02.780000,00:02.800000,0.5877128
00:02.790000,00:02.810000,0.50413436
00:02.800000,00:02.820000,0.5275629
00:02.810000,00:02.830000,0.63127184
00:02.820000,00:02.840000,0.7440025
00:02.830000,00:02.850000,0.90670115
00:02.840000,00:02.860000,0.9375741
00:02.850000,00:02.870000,0.9155436
00:02.860000,00:02.880000,0.83037376
00:02.870000,00:02.890000,0.79255414
00:02.880000,00:02.900000,0.7741695
00:02.890000,00:02.910000,0.7450848
00:02.900000,00:02.920000,0.7394426
00:02.910000,00:02.930000,0.76718014
00:02.920000,00:02.940000,0.81945676
00:02.930000,00:02.950000,0.8461836
00:02.940000,00:02.960000,0.8293762
00:02.950000,00:02.970000,0.7970931
00:02.960000,00:02.980000,0.78751564
00:02.970000,00:02.990000,0.7226948
00:02.980000,00:03,0.64550143
00:02.990000,00:03.010000,0.46296087
00:03,00:03.020000,0.3177009
00:03.010000,00:03.030000,0.19743027
00:03.020000,00:03.040000,0.16336538
00:03.030000,00:03.050000,0.14237118
00:03.040000,00:03.060000,0.12778442
